numberThread numberMessages shift timePrecessingRing throughputRing latencyChain
68 10000012 5 4314.833453897058 2317589.336146502 1518.760433916901
68 10000012 5 3940.7406780588244 2537597.070438525 1158.7601530906845
68 10000012 5 4335.019770632352 2306797.3225278486 1713.2462806177493
69 10000032 5 4243.382955246378 2356617.8460598974 1680.9168855457199
69 10000032 5 4109.568631768115 2433353.204688433 1130.2292883543944
69 10000032 5 4084.5986686376814 2448228.7762521524 1556.5788950600427
69 10000032 5 4257.9985564347835 2348528.743601316 1908.582747714507
70 10000060 5 4445.693975942858 2249381.0986796846 1838.5139631879479
70 10000060 5 4342.640076285715 2302760.4923116514 1639.1950594262744
70 10000060 5 4199.767548157141 2381098.450172088 1192.8819167197332
70 10000060 5 4320.554619828573 2314531.5543764085 1565.9998171649852
71 10000066 5 4325.937219394366 2311653.0575540843 1646.44364289035
71 10000066 5 4109.778803859156 2433237.0371392635 1762.5439731356917
71 10000066 5 4209.094920774646 2375823.3511539763 1638.3842135138384
71 10000066 5 4299.8674981267595 2325668.4082373553 1730.417972557743
72 10000008 5 4083.383859875 2448951.248072504 1186.641883819999
72 10000008 5 4115.885115305555 2429613.0042146766 1877.5010817454897
72 10000008 5 4093.544536166666 2442872.6526972996 1141.334082162707
72 10000008 5 4285.945345930555 2333209.407230278 1730.9667759491413
73 10000051 5 4191.582651890412 2385745.8698780416 1490.921884862842
73 10000051 5 4338.043532232878 2305198.397779281 1298.5219921782857
73 10000051 5 4154.594452657533 2406986.07624707 1414.9156703612482
73 10000051 5 4138.238124547945 2416499.6549328323 1283.3700532565447
74 10000064 5 4347.798956432431 2300029.072228655 1560.5775880218644
74 10000064 5 4108.364575756757 2434074.1469269423 1123.8826953651794
74 10000064 5 4024.1145992702695 2485034.5966323633 1014.6568461635275
74 10000064 5 4116.685669837839 2429154.1307777124 1661.120995753941
75 10000050 5 4310.5536561066665 2319899.205020485 1653.896578618159
75 10000050 5 4341.4983317333335 2303363.778100889 1918.4813575960966
75 10000050 5 3785.524707946667 2641654.928049379 1062.5277291170712
75 10000050 5 4281.215875719998 2335796.7199722747 1794.8025589335382
76 10000004 5 4639.091247276317 2155595.453284339 2120.5897906024575
76 10000004 5 4499.498277447368 2222470.9030610295 1886.519016438925
76 10000004 5 4160.3908789342095 2403621.2680481975 1310.2794707400594
76 10000004 5 3875.992114263156 2579985.64114753 1173.4997323004636
77 10000067 5 4214.215185142858 2372936.9670668603 1343.4804382927061
77 10000067 5 3924.0299811038967 2548417.5829836065 1164.0466277768585
77 10000067 5 3967.706350272728 2520364.693650433 972.7049202379255
77 10000067 5 4159.9444520779225 2403894.358494353 1299.9656056050328
78 10000068 5 4317.946191064103 2315931.592824136 1524.2411562795137
78 10000068 5 4277.415234923078 2337876.3694378235 1446.7311713945685
78 10000068 5 3803.1461260897454 2629419.8719841726 1289.8776283970092
78 10000068 5 4350.358679192307 2298676.6695422516 1549.580888912382
79 10000057 5 4060.4982777341784 2462765.975012354 1291.7257413525383
79 10000057 5 4361.138529696203 2292992.2844474753 1819.5683290429902
79 10000057 5 4421.127209886077 2261879.499336478 1548.5471325829249
